"SA","SU"
"Morro_do_Itaoca","1-1"
"Estação_Ecológica_de_Guaxindiba","2-1"
"Estação_Ecológica_de_Guaxindiba","2-2"
"Mata_do_Funil","2-3"
"Fazenda_Formosa","3-1"
"Fazenda_Formosa","3-2"
"Fazenda_Formosa","3-3"
"Reserva_Ecológica_do_Clube_de_Caça_e_Pesca_Itororó","4-1"
"Reserva_Ecológica_do_Clube_de_Caça_e_Pesca_Itororó","4-2"
"Estação_Ecológica_do_Panga","4-3"
"Urbano_Santos","5-1"
"Área_de_Proteção_Ambiental_da_Barra_do_Rio_Mamanguape","6-1"
"Área_de_Proteção_Ambiental_da_Barra_do_Rio_Mamanguape","6-2"
"Tailândia","7-1"
"Tailândia","7-2"
"Tailândia","7-3"
"Desengano","8-1"
"Desengano","8-2"
"Desengano","8-3"
"Desengano","8-4"
"Desengano","8-5"
"Desengano","8-6"
"Desengano","8-7"
"Desengano","8-8"
"Desengano","8-9"
"Boracéia_Biological_Station","9-1"
"Boracéia_Biological_Station","9-2"
"Neblinas","9-3"
"Neblinas","9-4"
"Ilhabela","9-5"
"Ilhabela","9-6"
"Cantareira","9-7"
"São_Sebastião","9-8"
"Santa_Genebra","9-9"
"Bertioga","9-10"
"Cananéia","9-11"
"Vitória_Island","9-12"
"Búzios_Island","9-13"
"Reserva_Florestal_da_Fazenda_Coqueiro","10-1"
"Reserva_Florestal_da_Fazenda_Coqueiro","10-2"
"Reserva_Natural_do_Rio_Cachoeira","11-1"
"Reserva_Natural_do_Rio_Cachoeira","11-2"
"Morro_do_Capim","11-3"
"Mata_de_Bujary","12-1"
"Mata_de_Bujary","12-2"
"Mata_de_Bujary","12-3"
"Mata_de_Bujary","12-4"
"Mata_de_Bujary","12-5"
"Mata_de_Bujary","12-6"
"Mata_de_Bujary","12-7"
"Parque_Estadual_do_Rio_Preto","13-1"
"Parque_Estadual_do_Rio_Preto","13-2"
"Parque_Estadual_do_Rio_Preto","13-3"
"Parque_Estadual_do_Rio_Preto","13-4"
"Parque_Estadual_do_Rio_Preto","13-5"
"Ilha_de_Maracá","14-1"
"Ilha_de_Maracá","14-2"
"Parque_Estadual_do_Rio_Doce","15-1"
"Parque_Estadual_do_Rio_Doce","15-2"
"Parque_Estadual_do_Rio_Doce","15-3"
"Parque_Estadual_do_Rio_Doce","15-4"
"Parque_Estadual_do_Rio_Doce","15-5"
"Parque_Estadual_do_Rio_Doce","15-6"
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_do_Caraça","16-1"
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_do_Caraça","16-2"
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_do_Caraça","16-3"
"Reserva_Biológica_da_Mata_Escura","17-1"
"Reserva_Biológica_da_Mata_Escura","17-2"
"Reserva_Biológica_da_Mata_Escura","17-3"
"Reserva_Particular_do_Patrimônio_Natural_Duas_Barras","17-4"
"Reserva_Particular_do_Patrimônio_Natural_Duas_Barras","17-5"
"Reserva_Particular_do_Patrimônio_Natural_Duas_Barras","17-6"
"Reserva_Particular_do_Patrimônio_Natural_Duas_Barras","17-7"
"Guaratinga","17-8"
"Reserva_Biológica_de_Una","18-1"
"Reserva_Biológica_de_Una","18-2"
"Reserva_Biológica_de_Una","18-3"
"Reserva_Biológica_de_Sooretama","19-1"
"Reserva_Natural_Vale","19-2"
"Reserva_Natural_Vale","19-3"
"Reserva_Natural_Vale","19-4"
"Reserva_Natural_Vale","19-5"
"Parque_Nacional_do_Pau_Brasil","20-1"
"Parque_Nacional_do_Pau_Brasil","20-2"
"RPPN_Estação_Veracel","20-3"
"RPPN_Estação_Veracel","20-4"
"Parque_Nacional_do_Monte_Pascoal","21-1"
"Parque_Nacional_do_Monte_Pascoal","21-2"
"Parque_Nacional_do_Monte_Pascoal","21-3"
"Parque_Nacional_do_Monte_Pascoal","21-4"
"Parque_Nacional_do_Monte_Pascoal","21-5"
"Parque_Nacional_do_Monte_Pascoal","21-6"
"Parque_Nacional_do_Descobrimento","21-7"
"Parque_Nacional_do_Descobrimento","21-8"
"Parque_Nacional_do_Descobrimento","21-9"
"Itamaraju","21-10"
"Itamaraju","21-11"
"Itamaraju","21-12"
"Itamaraju","21-13"
"Itamaraju","21-14"
"Itamaraju","21-15"
"Reserva_Particular_do_Patrimônio_Natural_Feliciano_Miguel_Abdala","22-1"
"Reserva_Particular_do_Patrimônio_Natural_Feliciano_Miguel_Abdala","22-2"
"Reserva_Ecológica_Michelin","23-1"
"Reserva_Ecológica_Michelin","23-2"
"Universidade_Estadual_de_Santa_Cruz","23-3"
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_Bonita","23-4"
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_Bonita","23-5"
"Reserva_Biológica_Guaribas","24-1"
"Reserva_Biológica_Guaribas","24-2"
"Parque_Estadual_Mata_dos_Godoy","25-1"
"Private_Property","25-2"
"Private_Property","25-3"
"RPPN_Frei_Caneca","26-1"
"RPPN_Frei_Caneca","26-2"
"Mata_do_Coimbra","26-3"
"Mata_do_Coimbra","26-4"
"Mata_do_Coimbra","26-5"
"Estação_Ecológica_de_Murici","26-6"
"Mata_do_Coimbra","26-7"
"RPPN_Frei_Caneca","26-8"
"Área_de_Proteção_Ambiental_das_Lagoas_e_Dunas_de_Abaeté","27-1"
"Acre_state","28-1"
"Mata_do_Baú","29-1"
"Iquitos-Nauta_road","30-1"
"Iquitos-Nauta_road","30-2"
"Iquitos-Nauta_road","30-3"
"Município_de_Sertãozinho","32-1"
"Município_de_Cajuru","32-2"
"Companhia_Vale_do_Rio_Doce_Forest_Reserve","33-1"
"Ilha_Cajual","34-1"
"Santa_Cecília_Farm","35-1"
"Santa_Cecília_Farm","35-2"
"Parque_Estadual_Mata_dos_Godoy","36-1"
"Lago_do_Silêncio","37-1"
"Reserva_Biológica_União","38-1"
"Região_do_Imbaú","38-2"
"Região_do_Imbaú","38-3"
"Região_do_Imbaú","38-4"
"Região_do_Imbaú","38-5"
"Santa_Genebra_Forest","39-1"
"Santa_Genebra_Forest","39-2"
"Tarapoto","40-1"
"Tarapoto","40-2"
"Tarapoto","40-3"
"Tarapoto","40-4"
"Tarapoto","40-5"
"Tarapoto","40-6"
"Cachoeira_do_Teotônio","41-1"
"Belo_Horizonte","42-1"
"Belo_Horizonte","42-2"
"Belo_Horizonte","42-3"
"Belo_Horizonte","42-4"
"Estação_Ecológica_do_Panga","43-1"
"Estação_Ecológica_do_Panga","43-2"
"Reserva_el_Paujil","44-1"
"Vereda_La_Guinea","44-2"
"Reserva_El_Cañon_de_Rio_Claro","44-3"
"Rio_Branco","45-1"
"Rio_Branco","45-2"
"Rio_Branco","45-3"
"Rio_Branco","45-4"
"Rio_Branco","45-5"
"Rio_Branco","45-6"
"Rio_Branco","45-7"
"Rio_Branco","45-8"
"Rio_Branco","45-9"
"Rio_Branco","45-10"
"Parque_Zoobotânico","46-1"
"Catuaba_Reserve","46-2"
"Formosa_da_Serra_Negra","47-1"
"Formosa_da_Serra_Negra","47-2"
"Nanay","48-1"
"Rio_Tapiche_I","48-2"
"Rio_Tapiche_II","48-3"
"Moyobamba","48-4"
"Tarapoto","48-5"
"Contamana","48-6"
"Pijuayal","48-7"
"Panguana","48-8"
"Cicra","48-9"
"Pto._Maldonato","48-10"
"Villa_Tunari","48-11"
"Sacta","48-12"
"Buena_Vista","48-13"
"Santa_Cruz","48-14"
"Rio_Seco","48-15"
"Las_Cruces","49-1"
"Barro_Colorado_Island","50-1"
"Barro_Colorado_Island","50-2"
"Barro_Colorado_Island","50-3"
"Barro_Colorado_Island","50-4"
"Corcovado_National_Park","51-1"
"Corcovado_National_Park","51-2"
"Corcovado_National_Park","51-3"
"Corcovado_National_Park","51-4"
"Santa_Rosa_Natonal_Park","51-5"
"Santa_Rosa_Natonal_Park","51-6"
"Santa_Rosa_Natonal_Park","51-7"
"Santa_Rosa_Natonal_Park","51-8"
"Santa_Rosa_Natonal_Park","51-9"
"Santa_Rosa_Natonal_Park","51-10"
"Santa_Rosa_Natonal_Park","51-11"
"Soconusco","52-1"
"Soconusco","52-2"
"Soconusco","52-3"
"Reserva_Toca_da_Paca","53-1"
"Guaimia","54-1"
"Guaimia","54-2"
"Guaimia","54-3"
"Reserva_Natural_Vale","55-1"
"Reserva_Natural_Vale","55-2"
"Reserva_Natural_Vale","55-3"
"Reserva_Natural_Vale","55-4"
"Reserva_Natural_Vale","55-5"
"Rio_Branco","56-1"
"Rio_Branco","56-2"
"Rio_Branco","56-3"
"Rio_Branco","56-4"
"Rio_Branco","56-5"
"Rio_Branco","56-6"
"Rio_Branco","56-7"
"Rio_Branco","56-8"
"Rio_Branco","56-9"
"Rio_Branco","56-10"
"Rio_Branco","56-11"
"Mata_do_Carvão","57-1"
"Mata_da_Prosperidade","57-2"
"Mata_da_Cabecinha","57-3"
"São_Francisco_de_Itabapoana","58-1"
"São_Francisco_de_Itabapoana","58-2"
"São_José_de_Ubá","58-3"
"São_José_de_Ubá","58-4"
"São_José_de_Ubá","58-5"
"São_José_de_Ubá","58-6"
"Trajano_de_Moraes","58-7"
"Trajano_de_Moraes","58-8"
"Trajano_de_Moraes","58-9"
"Campos_do_Jordão","59-1"
"Pindamonhangaba","59-2"
"Ubatuba","59-3"
"Permanent_Preservation_Area_Vargem_Limpa","60-1"
"Permanent_Preservation_Area_of_Duratex","60-2"
"Ecological_Station_of_Bauru","60-3"
"Ecological_Station_of_Caetetus","60-4"
"Universidade_do_Estado_de_São_Paulo","60-5"
"Pratigi_Environmental_Protection_Area","61-1"
"Pratigi_Environmental_Protection_Area","61-2"
"Pratigi_Environmental_Protection_Area","61-3"
"Pratigi_Environmental_Protection_Area","61-4"
"Mata_da_Cabecinha","62-1"
"Mata_da_Cabecinha","62-2"
"Mata_da_Cabecinha","62-3"
"Mata_da_Cabecinha","62-4"
"Parque_Estadual_da_Serra_do_Mar","63-1"
"Parque_Estadual_da_Serra_do_Mar","63-2"
"Parque_Estadual_da_Ilha_Anchieta","63-3"
"Parque_Estadual_da_Ilha_Anchieta","63-4"
"Reserva_Particular_do_Patrimônio_Natural_Feliciano_Miguel_Abdala","64-1"
"Reserva_Particular_do_Patrimônio_Natural_Feliciano_Miguel_Abdala","64-2"
"Belo_Horizonte","65-1"
"Belo_Horizonte","65-2"
"Belo_Horizonte","65-3"
"Belo_Horizonte","65-4"
"Parque_Estadual_do_Rio_Doce_(PERD)","66-1"
"Viçosa","66-2"
"Cajaíba","67-1"
"Ibiraba","68-1"
"João_Pessoa","69-1"
"João_Pessoa","69-2"
"BR-174_(Estrada_ZF-3,_KM_27_)","70-1"
"BR-174_(Estrada_ZF-3,_KM_27_)","70-2"
"BR-174_(Estrada_ZF-3,_KM_41_)","70-3"
"BR-174_(Estrada_ZF-3,_KM_41_)","70-4"
"Surroundings_of_the_Parque_Nacional_dos_Lençóis_Maranhenses_(PNLM)_","71-1"
"Reserva_Biológica_Guaribas","72-1"
"Reserva_Biológica_Guaribas","72-2"
"Reserva_Biológica_Guaribas","72-3"
"Àrea_de_Preservação_Ambiental_da_Região_Serrana_do_Maciço_de_Baturité","73-1"
"Àrea_de_Preservação_Ambiental_da_Região_Serrana_do_Maciço_de_Baturité","73-2"
"Àrea_de_Preservação_Ambiental_da_Região_Serrana_do_Maciço_de_Baturité","73-3"
"Universidade_Federal_do_Ceará","73-4"
"Alcântara","74-1"
"Boa_Vista","75-1"
"Bonfim","75-2"
"Cantá","75-3"
"Amajari","75-4"
"Cantá","75-5"
"Caracaraí","75-6"
"Urbano_Santos","76-1"
"São_Francisco_do_Sul","77-1"
"Joinville","77-2"
"Joinville","77-3"
"Joinville","77-4"
"Joinville","77-5"
"Joinville","77-6"
